latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.625,77.25,231.0,25200,Asia/Bangkok,+07

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),is_day (),precipitation (inch),rain (inch),showers (inch),weather_code (wmo code),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2024-12-08T19:00,18.9,47,17.3,0,0.000,0.000,0.000,2,52,984.5,6.0,123,14.0

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (inch),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²)
2024-12-01T00:00,17.1,77,17.5,0.000,0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T01:00,16.1,80,16.3,0.000,0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T02:00,15.3,83,15.5,0.000,0,3.7,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T03:00,14.9,84,15.0,0.000,0,3.4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T04:00,14.5,85,14.5,0.000,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T05:00,14.2,86,14.2,0.000,0,3.4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T06:00,13.9,86,13.8,0.000,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T07:00,13.3,88,13.2,0.000,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T08:00,13.1,88,12.9,0.000,0,3.2,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T09:00,13.0,88,12.9,0.000,0,2.7,14.0,5.0,9.0,57.8,14.0,61.0
2024-12-01T10:00,14.5,83,14.7,0.000,0,1.9,149.0,99.0,50.0,503.0,149.0,276.9
2024-12-01T11:00,17.7,68,17.7,0.000,0,3.1,334.0,262.0,72.0,707.3,334.0,521.1
2024-12-01T12:00,20.5,57,20.6,0.000,0,3.1,492.0,410.0,82.0,809.2,492.0,712.8
2024-12-01T13:00,22.9,50,23.3,0.000,0,3.4,598.0,512.0,86.0,858.8,598.0,838.8
2024-12-01T14:00,24.4,45,24.6,0.000,0,5.6,643.0,556.0,87.0,878.4,643.0,890.6
2024-12-01T15:00,25.1,44,25.1,0.000,0,6.9,621.0,536.0,85.0,872.2,621.0,864.6
2024-12-01T16:00,25.3,43,24.8,0.000,0,7.4,534.0,454.0,80.0,837.6,534.0,762.6
2024-12-01T17:00,25.1,44,24.6,0.000,0,7.4,392.0,321.0,71.0,763.5,392.0,591.6
2024-12-01T18:00,24.3,46,23.9,0.000,0,7.1,210.0,155.0,55.0,600.6,210.0,363.1
2024-12-01T19:00,22.5,57,23.0,0.000,0,3.8,41.0,21.0,20.0,175.5,41.0,108.2
2024-12-01T20:00,20.9,63,21.5,0.000,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T21:00,19.9,68,20.5,0.000,0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T22:00,19.1,70,19.7,0.000,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01T23:00,18.3,73,18.8,0.000,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T00:00,17.6,74,18.0,0.000,0,3.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T01:00,15.9,80,16.2,0.000,0,3.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T02:00,15.2,81,15.3,0.000,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T03:00,14.7,82,14.7,0.000,0,3.7,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T04:00,14.2,83,14.1,0.000,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T05:00,13.8,83,13.5,0.000,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T06:00,13.3,83,12.8,0.000,0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T07:00,12.7,85,12.3,0.000,0,3.4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T08:00,12.3,85,11.8,0.000,0,3.2,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T09:00,12.2,85,11.7,0.000,0,2.9,13.0,5.0,8.0,58.7,13.0,59.1
2024-12-02T10:00,14.0,78,13.7,0.000,0,2.6,150.0,100.0,50.0,515.3,150.0,273.1
2024-12-02T11:00,17.3,66,17.3,0.000,0,1.8,336.0,263.0,73.0,715.2,336.0,517.5
2024-12-02T12:00,20.6,53,20.3,0.000,0,3.4,496.0,413.0,83.0,819.3,496.0,709.4
2024-12-02T13:00,23.4,45,23.4,0.000,0,3.6,606.0,518.0,88.0,872.3,606.0,835.7
2024-12-02T14:00,24.7,41,24.8,0.000,0,5.1,649.0,561.0,88.0,889.1,649.0,888.0
2024-12-02T15:00,25.6,40,25.5,0.000,0,5.5,626.0,540.0,86.0,881.1,626.0,862.5
2024-12-02T16:00,25.9,38,25.3,0.000,0,5.0,538.0,457.0,81.0,845.1,538.0,761.1
2024-12-02T17:00,25.7,39,25.2,0.000,0,4.8,394.0,323.0,71.0,769.7,394.0,590.6
2024-12-02T18:00,25.0,41,24.6,0.000,0,4.2,213.0,157.0,56.0,609.3,213.0,362.7
2024-12-02T19:00,23.1,54,23.7,0.000,0,3.1,41.0,21.0,20.0,175.6,41.0,108.0
2024-12-02T20:00,21.6,59,22.3,0.000,0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T21:00,20.1,64,20.7,0.000,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T22:00,19.2,68,19.7,0.000,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02T23:00,18.4,71,18.9,0.000,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T00:00,17.6,75,18.1,0.000,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T01:00,16.3,81,16.7,0.000,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T02:00,15.7,83,16.1,0.000,0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T03:00,15.3,84,15.5,0.000,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T04:00,14.8,86,15.0,0.000,0,3.7,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T05:00,14.3,87,14.4,0.000,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T06:00,13.7,89,13.7,0.000,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T07:00,13.9,87,13.8,0.000,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T08:00,13.3,88,13.2,0.000,0,3.7,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T09:00,13.0,89,13.0,0.000,0,2.8,12.0,4.0,8.0,47.7,12.0,57.2
2024-12-03T10:00,14.4,85,14.7,0.000,0,2.3,147.0,96.0,51.0,501.7,147.0,269.4
2024-12-03T11:00,17.5,72,17.9,0.000,0,2.1,332.0,259.0,73.0,709.5,332.0,513.9
2024-12-03T12:00,20.4,62,20.9,0.000,0,2.6,492.0,408.0,84.0,813.5,492.0,706.0
2024-12-03T13:00,23.4,48,23.6,0.000,0,4.8,600.0,512.0,88.0,865.5,600.0,832.8
2024-12-03T14:00,25.2,42,25.3,0.000,0,6.1,645.0,557.0,88.0,885.5,645.0,885.5
2024-12-03T15:00,26.3,37,25.8,0.000,0,7.7,624.0,538.0,86.0,880.1,624.0,860.6
2024-12-03T16:00,26.6,35,25.4,0.000,0,8.4,537.0,457.0,80.0,846.9,537.0,759.7
2024-12-03T17:00,26.4,36,25.2,0.000,0,8.4,394.0,323.0,71.0,771.0,394.0,589.8
2024-12-03T18:00,25.6,38,24.5,0.000,0,7.4,212.0,157.0,55.0,610.0,212.0,362.3
2024-12-03T19:00,23.4,51,23.7,0.000,0,3.7,41.0,21.0,20.0,175.7,41.0,108.0
2024-12-03T20:00,21.7,57,22.0,0.000,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T21:00,20.6,63,21.0,0.000,0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T22:00,19.5,67,19.9,0.000,0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03T23:00,18.4,71,18.6,0.000,0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-04T00:00,17.4,74,17.6,0.000,0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-04T01:00,16.5,80,16.6,0.000,0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-04T02:00,16.1,80,16.1,0.000,0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-04T03:00,15.7,81,15.6,0.000,0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
